id,receipt_number,store_name,store_id,ticket_amount,print_time,processing_date,created_at,updated_at,source_file_path,original_filename
2662,250729#286999,eat n work,302596,1929.00,2025-07-30T03:53:30,2025-07-30,2025-07-29T23:34:54.932512,2025-07-29T23:34:54.932512,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__286999.json,250729__HASH__286999.json
2663,250729#287000,eat n work,302596,354.00,2025-07-30T03:50:56,2025-07-30,2025-07-29T23:34:54.944565,2025-07-29T23:34:54.944565,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287000.json,250729__HASH__287000.json
2664,250729#287001,eat n work,302596,1426.00,2025-07-30T03:48:22,2025-07-30,2025-07-29T23:34:54.956119,2025-07-29T23:34:54.956119,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287001.json,250729__HASH__287001.json
2665,250729#287004,eat n work,302596,1403.00,2025-07-30T03:19:08,2025-07-30,2025-07-29T23:34:54.968255,2025-07-29T23:34:54.968255,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287004.json,250729__HASH__287004.json
2666,250729#287005,eat n work,302596,5139.00,2025-07-30T05:58:20,2025-07-30,2025-07-29T23:34:54.980404,2025-07-29T23:34:54.980404,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287005.json,250729__HASH__287005.json
2667,250729#287006,eat n work,302596,922.00,2025-07-30T03:40:16,2025-07-30,2025-07-29T23:34:54.992227,2025-07-29T23:34:54.992227,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287006.json,250729__HASH__287006.json
2668,250729#287007,eat n work,302596,1018.00,2025-07-30T04:16:54,2025-07-30,2025-07-29T23:34:55.003017,2025-07-29T23:34:55.003017,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287007.json,250729__HASH__287007.json
2669,250729#287008,eat n work,302596,1453.00,2025-07-30T06:49:54,2025-07-30,2025-07-29T23:34:55.014731,2025-07-29T23:34:55.014731,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287008.json,250729__HASH__287008.json
2670,250729#287009,eat n work,302596,712.00,2025-07-30T05:22:26,2025-07-30,2025-07-29T23:34:55.027490,2025-07-29T23:34:55.027490,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287009.json,250729__HASH__287009.json
2671,250729#287010,eat n work,302596,470.00,2025-07-30T03:56:32,2025-07-30,2025-07-29T23:34:55.038458,2025-07-29T23:34:55.038458,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287010.json,250729__HASH__287010.json
